"HS4","PCI_2019"
3912,0.6599
3913,0.6012
3914,1.777
3915,-0.8438
3916,0.4789
3917,0.0489
3918,0.7793
3919,1.0008
3920,0.3042
3921,0.7441
3922,0.6609
3923,-0.1505
3924,-0.2471
3925,0.3151
3926,0.8774
4001,-2.3612
4002,0.5815
4003,0.379
4004,-0.2552
4005,0.9276
4006,0.7375
4007,1.0436
4008,1.0919
4009,0.8016
4010,1.0093
4011,0.3941
4012,0.4957
4013,-0.31
4014,0.2248
4015,-0.5993
4016,0.6881
4017,0.0763
4101,-1.6491
4102,-1.4491
4103,-2.0027
4104,-1.2319
4105,-1.9776
4106,-2.1156
4107,-0.7392
4108,-0.5718
4109,-0.8827
4110,-0.5646
4111,0.1618
4201,-0.1494
4202,-0.5402
4203,-0.7672
4205,-0.1768
4206,-0.3915
4301,-0.1657
4302,-0.4902
4303,0.192
4304,-0.1597
4401,-0.1861
4402,-1.3481
4403,-1.8335
4404,-0.1066
4405,-0.0541
4406,-0.1889
4407,-1.3867
4408,-0.7802
4409,-0.8232
4410,0.1173
4411,-0.0594
4412,-0.91
4413,-0.3333
4414,-0.1164
4415,0.2302
4416,0.0731
4417,-0.3092
4418,0.1543
4419,-0.2639
4420,-1.1475
4421,-0.3378
4501,-1.1149
4502,-0.3539
4503,-0.615
4504,-0.1483
4601,-1.6605
4602,-1.5958
4701,0.6023
4702,0.4479
4703,-0.171
4704,0.6614
4705,-0.3089
4706,-0.1879
4707,-0.103
4801,1.2789
4802,0.5352
4803,-0.3513
4804,0.0431
4805,0.4878
4806,1.7853
4807,0.3015
4808,0.0493
4809,0.3978
4810,0.3891
4811,0.4253
4812,1.0831
4813,0.1519
4814,0.5092
4816,0.5194
4817,-0.12
4818,0.1468
4819,-0.5558
4820,-0.8047
4821,-0.164
4822,0.171
4823,0.27
4901,0.5859
4902,0.9546
4903,0.71
4904,1.496
4905,0.5533
4906,0.8808
4907,-0.6222
4908,0.4564
4909,-0.4361
4910,0.3617
4911,0.6731
5001,-0.6316
5002,-1.3662
5003,-0.8979
5004,-1.032
5005,1.405
5006,0.0243
5007,0.3255
5101,-2.1733
5102,-2.1457
5103,-0.4293
5104,0.4129
5105,-1.1763
5106,0.2278
5107,0.5233
5108,-0.0807
5109,-0.0206
5110,0.1125
5111,0.5014
5112,0.6132
5113,-0.7209
5201,-2.4161
5202,-1.7422
5203,-1.1622
5204,-1.3751
5205,-1.7894
5206,-0.6846
5207,-0.3253
5208,-1.1654
5209,-1.3425
5210,-0.7235
5211,-0.8078
5212,-0.6736
5301,0.2327
5302,0.5919
5303,-2.1199
5305,-1.9278
5306,-0.0057
5307,-1.6186
5308,-0.789
5309,0.4403
5310,-2.1483
5311,-0.6686
5401,-0.3114
5402,0.378
5403,0.5589
5404,0.2802
5405,0.7728
5406,0.0524
5407,-0.267
5408,-0.0844
5501,0.2799
5502,1.486
5503,0.3416
5504,0.2045
5505,-0.1348
5506,-0.0834
5507,-0.2889
5508,-1.0359
5509,-0.2909
5510,-0.3037
5511,-0.5702
5512,0.1323
5513,-1.1874
5514,-0.3187
5515,-0.5056
5516,-0.2583
5601,-0.0866
5602,0.7097
5603,0.9759
5604,0.5232
5605,0.5947
5606,0.6901
5607,-0.6908
5608,-0.8459
5609,-0.7843
5701,-0.9171
5702,-0.8559
5703,0.2052
5704,0.3367
5705,-0.6603
5801,0.2558
5802,-0.8393
5803,0.0396
5804,-0.2776
5805,-0.1251
5806,-0.1155
5807,-0.424
5808,-0.5984
5809,-0.2385
5810,-0.7721
5811,0.1557
5901,-0.7717
5902,0.7375
5903,1.1577
5904,0.5689
5905,0.7957
5906,0.6827
5907,0.5282
5908,-0.8627
5909,0.9297
5910,1.2733
5911,1.346
6001,0.3771
6002,-0.6411
6101,-1.449
6102,-1.1603
6103,-1.4836
6104,-1.3024
6105,-1.6966
6106,-1.5243
6107,-1.671
6108,-1.6905
6109,-1.5312
6110,-1.4987
6111,-1.9319
6112,-0.9272
6113,-1.0462
6114,-1.5737
6115,-0.8571
6116,-1.0692
6117,-1.2098
6201,-1.5674
6202,-1.1279
6203,-1.4173
6204,-1.294
6205,-1.3296
6206,-1.2713
6207,-1.3502
6208,-1.1822
6209,-1.4782
6210,-1.1525
6211,-1.1855
6212,-1.2803
6213,-0.9634
6214,-0.5854
6215,-0.1704
6216,-1.2622
6217,-0.5554
6301,-0.7901
6302,-1.4252
6303,-0.3021
6304,-1.4387
6305,-1.8779
6306,-0.4035
6307,-1.1063
6308,-0.1508
6309,-0.2188
6310,-0.9942
6401,-0.9162
6402,-1.556
6403,-0.6426
6404,-1.2287
6405,-0.5489
6406,-0.8753
6501,-0.8764
6502,-0.9069
6504,-1.3139
6505,-1.6444
6506,0.3152
6507,-0.2603
6601,-0.1894
6602,0.8951
6603,0.752
6701,-0.6904
6702,0.0084
6703,-1.4777
6704,-2.2443
6801,-0.877
6802,-0.9547
6803,-0.263
6804,1.3547
6805,1.0327
6806,0.8865
6807,0.1206
6808,0.5251
6809,-0.3164
6810,0.3588
6811,0.241
6812,-0.3692
6813,0.4341
6814,1.1205
6815,0.8014
6901,-0.7909
6902,0.4841
6903,1.2684
6904,-0.4488
6905,0.4213
6906,0.2744
6907,-0.6769
6908,-0.8854
6909,1.1106
6910,-0.8706
6911,-0.4912
6912,0.2369
6913,-0.2016
6914,-0.095
7001,-0.4489
7002,1.1095
7003,1.6925
7004,1.4595
7005,0.3578
7006,1.8883
7007,0.7763
7008,1.106
7009,1.1685
7010,-0.5246
7011,0.4884
7013,0.3169
7014,1.2578
7015,0.8756
7016,0.2951
7017,0.974
7018,-0.036
7019,0.7195
7020,1.1349
7101,-0.6675
7102,-1.2301
7103,-0.9923
7104,-0.108
7105,1.2549
7106,-0.2384
7107,1.0964
7108,-2.4295
7109,1.1261
7110,1.2556
7111,1.3811
7112,-0.4477
7113,-0.2798
7114,-0.4167
7115,0.2808
7116,-0.5518
7117,0.152
7118,0.1144
7201,-1.018
7202,-0.8648
7203,-1.4154
7204,-0.6794
7205,0.7579
7206,-0.1095
7207,-0.5403
7208,0.4998
7209,0.2452
7210,-0.1164
7211,0.9042
7212,0.4998
7213,-0.1441
7214,-1.0236
7215,-0.0688
7216,-0.1887
7217,-0.0602
7218,0.2173
7219,1.103
7220,1.5192
7221,1.8225
7222,1.302
7223,1.322
