NACE2,HS4,weight
01.16,1207,0.0983
01.16,5301,0.8757
01.16,5302,0.0169
01.16,5303,0.001
01.16,5201,0.0081
01.19,603,0.0288
01.19,1214,0.1465
01.19,1209,0.8247
01.21,806,1
01.22,807,0.1677
01.22,804,0.2745
01.22,803,0.2854
01.22,810,0.2724
01.24,809,0.1484
01.24,808,0.6732
01.24,810,0.1784
01.25,810,0.1494
01.25,801,0.014
01.25,1212,0.0062
01.25,1209,0.6478
01.25,802,0.1826
01.29,4001,0.7868
01.29,604,0.0928
01.29,1404,0.0831
01.29,1401,0.0373
01.26,1203,0
01.26,801,0.0438
01.26,709,0.9561
01.27,1801,0.0146
01.27,902,0.0503
01.27,903,0.0022
01.27,901,0.933
01.49,5102,0.0019
01.49,407,0.2904
01.49,1521,0.0169
01.49,106,0.1203
01.49,307,0.4679
01.49,410,0.0082
01.49,4301,0.0088
01.49,409,0.0521
01.49,5001,0
01.49,4103,0.0335
01.47,407,0.3802
01.47,105,0.6198
01.46,103,1
01.23,805,1
01.45,5101,0.3683
01.45,104,0.6317
01.44,106,1
01.43,101,1
01.42,511,0.0438
01.42,102,0.9562
01.41,102,1
01.30,601,0.0962
01.30,602,0.9038
01.50,708,0.0056
01.50,5303,0
01.50,1205,0.0392
01.50,105,0.0155
01.50,1201,0.004
01.50,1202,0
01.50,106,0.0039
01.50,101,0.0109
01.50,903,0.0001
01.50,5001,0
01.50,2401,0.01
01.50,702,0.019
01.50,1521,0.0006
01.50,409,0.0017
01.50,307,0.0153
01.50,707,0.0009
01.50,4301,0.0003
01.50,5101,0.001
01.50,1204,0.0004
01.50,1206,0.0234
01.50,407,0.0095
01.50,5201,0.0002
01.50,5102,0.0001
01.50,4103,0.0011
01.50,511,0.0044
01.50,601,0.0009
01.50,1404,0.0005
01.50,602,0.008
01.50,603,0.0012
01.50,604,0.0006
01.50,701,0.035
01.50,703,0.0068
01.50,1401,0.0002
01.50,704,0.0053
01.50,705,0.0042
01.50,706,0.0025
01.50,1207,0.0028
01.50,709,0.0165
01.50,1214,0.0062
01.50,1212,0.0003
01.50,5301,0.0248
01.50,713,0.0076
01.50,714,0.0005
01.50,801,0.0008
01.50,802,0.0099
01.50,803,0.0085
01.50,1801,0.001
01.50,804,0.0081
01.50,805,0.007
01.50,5302,0.0005
01.50,806,0.0021
01.50,807,0.005
01.50,1211,0.003
01.50,808,0.0305
01.50,809,0.0067
01.50,810,0.0081
01.50,1203,0
01.50,410,0.0003
01.50,901,0.0623
01.50,1210,0.0002
01.50,902,0.0034
01.50,904,0.0026
01.50,905,0.0047
01.50,906,0.0005
01.50,1213,0.0028
01.50,907,0.0001
01.50,102,0.0952
01.50,908,0.0002
01.50,4001,0.005
01.50,909,0.0003
01.50,910,0.0024
01.50,1001,0.2267
01.50,1002,0.0002
01.50,1209,0.0351
01.50,1003,0.0702
01.50,1004,0.0012
01.50,103,0.006
01.50,1005,0.089
01.50,1006,0.0029
01.50,1007,0.0019
01.50,104,0.0017
01.50,1008,0.0029
02.10,1209,0.8134
02.10,602,0.1866
02.20,4401,0.2613
02.20,4403,0.7387
01.28,908,0.0157
01.28,1212,0.0233
01.28,906,0.0326
01.28,910,0.1656
01.28,1211,0.2103
01.28,1210,0.0131
01.28,907,0.0083
01.28,909,0.0239
01.28,904,0.1816
01.28,905,0.3255
02.30,1301,0.5416
02.30,4501,0.0203
02.30,604,0.0462
02.30,4001,0.3919
03.11,306,0.1495
03.11,1212,0.0058
03.11,511,0.0756
03.11,308,0
03.11,307,0.2651
03.11,106,0.0681
03.11,508,0.0028
03.11,7101,0.0063
03.11,302,0.3329
03.11,301,0.0939
03.12,306,0.1495
03.12,106,0.0681
03.12,511,0.0756
03.12,1212,0.0058
03.12,508,0.0028
03.12,7101,0.0063
03.12,302,0.3329
03.12,308,0
03.12,307,0.2651
03.12,301,0.0939
03.21,508,0.0361
03.21,106,0.8822
03.21,7101,0.0816
03.22,508,0.0361
03.22,7101,0.0816
03.22,106,0.8822
01.12,1006,1
01.11,1002,0.0005
01.11,708,0.0116
01.11,713,0.016
01.11,1213,0.0058
01.11,1001,0.4745
01.11,1003,0.1469
01.11,1004,0.0026
01.11,1005,0.1862
01.11,1007,0.004
01.11,1008,0.006
01.11,1201,0.0083
01.11,1202,0.0001
01.11,1205,0.082
01.11,1207,0.0058
01.11,1206,0.049
01.11,1204,0.0007
01.13,701,0.2669
01.13,702,0.1446
01.13,1209,0.2673
01.13,807,0.0379
01.13,714,0.0041
01.13,707,0.0072
01.13,1212,0.0025
01.13,709,0.1259
01.13,706,0.0193
01.13,705,0.0322
01.13,704,0.0404
01.13,703,0.0517
01.14,1212,1
01.15,2401,1
08.92,2703,1
08.93,2501,1
05.10,2701,1
05.20,2702,1
08.91,2510,0.0373
08.91,2528,0.0032
08.91,2503,0.1365
08.91,2529,0.2756
08.91,2530,0.5314
08.91,2511,0.0105
08.91,2502,0.0055
08.12,2517,0.3851
08.12,2505,0.1685
08.12,2508,0.2795
08.12,2507,0.1669
08.11,2520,0.4459
08.11,2514,0.0907
08.11,2518,0.0255
08.11,2516,0.1024
08.11,2521,0.0563
08.11,2509,0.166
08.11,2515,0.0756
08.11,2506,0.0378
08.99,2504,0.0008
08.99,7102,0.4617
08.99,7103,0.3175
08.99,2512,0.0156
08.99,2714,0.0091
08.99,2621,0.0095
08.99,2530,0.0315
08.99,2529,0.0163
08.99,2525,0.0107
08.99,2524,0
08.99,2519,0.0273
08.99,2526,0.0931
08.99,2513,0.0013
08.99,2506,0.0055
07.29,2613,0.0084
07.29,2606,0.0196
07.29,2603,0.0864
07.29,2610,0.0089
07.29,2614,0.0009
07.29,2605,0.0014
07.29,2611,0.0035
07.29,2602,0.1506
07.29,2604,0.0024
07.29,2609,0.0075
07.29,2608,0.6172
07.29,2607,0.0025
07.29,2617,0.0004
07.29,2616,0.0501
07.29,2615,0.0402
07.21,2612,1
07.10,2601,1
06.20,2711,1
06.10,2709,0.5188
06.10,2714,0.4812
26.51,9014,0.0934
26.51,8529,0.0785
26.51,9012,0.0058
26.51,9016,0.0003
26.51,9026,0.1343
26.51,9030,0.0664
26.51,9029,0.029
26.51,9028,0.0339
26.51,9024,0.0045
26.51,9017,0.0053
26.51,9033,0.0065
26.51,9031,0.1355
26.51,9015,0.0444
26.51,9027,0.1611
26.51,9025,0.0186
26.51,9032,0.1825
26.60,9018,0.4405
26.60,9022,0.1945
26.60,9021,0.365
26.70,9013,0.037
26.70,9031,0.1317
26.70,9029,0.0282
26.70,9027,0.1565
26.70,9015,0.0431
26.70,9011,0.0021
26.70,9010,0.0154
26.70,9008,0.0004
26.70,9007,0.0016
26.70,9006,0.0046
26.70,9005,0.0097
26.70,9002,0.0088
26.70,9001,0.039
26.70,9620,0
26.70,8525,0.5218
26.80,8523,1
26.11,8534,0.0298
26.11,8540,0.024
26.11,8542,0.813
26.11,8541,0.1284
26.11,8522,0.0048
26.12,8523,0.7859
26.12,8534,0.2141
27.20,8506,0.1268
27.20,8507,0.8732
27.31,8544,0.8838
27.31,9001,0.1162
27.90,8544,0.3433
27.90,8533,0.033
27.90,8531,0.0626
27.90,8530,0.013
27.90,8547,0.0225
27.90,8504,0.2093
27.90,8505,0.0378
27.90,8545,0.0676
27.90,8546,0.0069
27.90,8535,0.0441
27.90,8543,0.0767
27.90,8515,0.0411
27.90,8548,0.0132
27.90,8532,0.0289
27.32,8544,1
27.33,8536,0.9009
27.33,3925,0.067
27.33,8547,0.0321
27.40,9405,0.3344
27.40,8539,0.1357
27.40,8512,0.5113
27.40,8513,0.0186
27.51,8418,0.2134
27.51,6301,0.0043
27.51,8450,0.007
27.51,8451,0.0363
27.51,8422,0.1184
27.51,8508,0.0366
27.51,8509,0.0677
27.51,8510,0.0146
27.51,8516,0.2011
27.51,8414,0.3007
27.52,7418,0.0119
27.52,7322,0.0209
27.52,8419,0.8911
27.52,7321,0.076
27.11,8502,0.1138
27.11,8504,0.3875
27.11,8501,0.3884
27.11,8503,0.1103
27.12,8537,0.2305
27.12,8536,0.5527
27.12,8538,0.1782
27.12,8535,0.0385
28.25,8415,0.0757
28.25,8421,0.301
28.25,8419,0.1632
28.25,8418,0.191
28.25,8414,0.2691
28.11,8409,0.0894
28.11,8411,0.6665
28.11,8502,0.0189
28.11,8410,0.0026
28.11,8407,0.0879
28.11,8408,0.1294
28.11,8406,0.0053
28.12,8413,0.4206
28.12,8481,0.4434
28.12,8412,0.136
28.13,8413,0.533
28.13,8414,0.467
28.14,8481,1
28.15,8483,0.4804
28.15,8482,0.4825
28.15,7315,0.0371
28.21,8417,0.293
28.21,8416,0.2139
28.21,8514,0.4931
28.22,8709,0.0251
28.22,8431,0.3816
28.22,8427,0.2456
28.22,8428,0.2122
28.22,8425,0.0727
28.22,8426,0.0627
28.23,8470,0.0202
28.23,8443,0.279
28.23,8473,0.6817
28.23,8472,0.0191
28.24,8467,1
28.29,8422,0.4661
