NACE2,HS2017,weight
5.1,2701.11,0.017
6.1,2709.00,0.7047
6.1,2714.10,0.2953
6.2,2711.11,0.0574
6.2,2711.21,0.9426
7.1,2601.12,0.1573
7.1,2601.11,0.8427
7.29,2614.00,0.0001
7.29,2616.90,0.0247
7.29,2609.00,0.0054
7.29,2613.90,0.0032
7.29,2617.90,0.0003
7.29,2607.00,0
7.29,2613.10,0.0084
7.29,2608.00,0.6678
7.29,2616.10,0.0035
7.29,2605.00,0.0002
7.29,2615.10,0.0508
7.29,2602.00,0.0931
7.29,2611.00,0.0012
7.29,2606.00,0.0303
7.29,2615.90,0.0001
7.29,2610.00,0.0159
7.29,2603.00,0.0913
7.29,2604.00,0.0037
8.11,2515.11,0.0049
8.11,2506.20,0.0014
8.11,2515.12,0.0184
8.11,2516.90,0.0092
8.11,2520.10,0.1536
8.11,2515.20,0.0847
8.11,2518.10,0.0163
8.11,2516.11,0.1161
8.11,2521.00,0.0771
8.11,2509.00,0.3122
8.11,2516.20,0.0266
8.11,2516.12,0.0036
8.11,2514.00,0.1759
8.12,2508.10,0.0161
8.12,2508.30,0.0019
8.12,2505.10,0.0848
8.12,2517.41,0.0083
8.12,2508.40,0.1133
8.12,2508.50,0.0781
8.12,2507.00,0.1572
8.12,2517.20,0.0002
8.12,2508.60,0.0032
8.12,2505.90,0.0917
8.12,2517.10,0.3621
8.12,2517.49,0.0324
8.12,2508.70,0.0506
8.91,2502.00,0.0074
8.91,2529.21,0.0164
8.91,2530.20,0.0131
8.91,2511.20,0.0004
8.91,2530.90,0.8797
8.91,2529.22,0.001
8.91,2528.00,0.0031
8.91,2503.00,0.0789
8.92,2703.00,1
8.93,2501.00,1
8.99,2513.10,0.0027
8.99,2512.00,0.0879
8.99,2519.10,0.0032
8.99,2529.10,0.0839
8.99,7102.10,0.0098
8.99,2504.90,0.0029
8.99,2621.90,0.0305
8.99,2504.10,0.002
8.99,2530.10,0.0248
8.99,2526.20,0.5164
8.99,2519.90,0.1164
8.99,7102.31,0.0002
8.99,2525.10,0.0003
8.99,2714.90,0.0014
8.99,2513.20,0.0058
8.99,2526.10,0.0474
8.99,2529.30,0.0001
8.99,2525.30,0.0002
8.99,7103.10,0.0036
8.99,7102.21,0.0016
8.99,2525.20,0.0572
8.99,2506.10,0.0017
10.11,0201.10,0.0743
10.11,0502.10,0.0001
10.11,0203.19,0.0972
10.11,0206.29,0.0124
10.11,0203.29,0.1394
10.11,0506.10,0
10.11,0202.30,0.0185
10.11,0209.10,0.0112
10.11,4102.29,0.0004
10.11,4102.10,0.004
10.11,0203.12,0.049
10.11,1501.20,0.0104
10.11,0204.21,0.0051
10.11,1501.10,0.0029
10.11,0206.90,0.0005
10.11,5101.19,0
10.11,0504.00,0.036
10.11,0201.30,0.0692
10.11,0204.42,0.0016
10.11,0208.30,0
10.11,4101.20,0.0155
10.11,0204.23,0.0012
10.11,0202.10,0.0001
10.11,0206.10,0.0061
10.11,4103.90,0.0008
10.11,0507.90,0
10.11,1502.90,0.0125
10.11,0205.00,0.0066
10.11,0206.30,0.0064
10.11,0203.21,0.0013
10.11,1502.10,0.0138
10.11,0202.20,0.0012
10.11,0208.50,0
10.11,0204.50,0.0063
10.11,0206.21,0.0003
10.11,4101.50,0.0467
10.11,0204.41,0.0001
10.11,0208.90,0.0099
10.11,0506.90,0.0037
10.11,0204.10,0.0019
10.11,0203.22,0.0157
10.11,4102.21,0.0001
10.11,0203.11,0.0552
10.11,0511.99,0.0146
10.11,4101.90,0.003
10.11,0201.20,0.1649
10.11,0204.30,0.0005
10.11,0204.43,0.0011
10.11,0208.10,0.0088
10.11,0510.00,0.0024
10.11,0204.22,0.0065
10.11,0206.80,0.0004
10.11,0502.90,0
10.11,0206.22,0.0018
10.11,0206.41,0.0005
10.11,0206.49,0.0579
10.12,0207.25,0.0164
10.12,0207.51,0.0001
10.12,0505.90,0.0005
10.12,0209.90,0.0011
10.12,1501.90,0.0413
10.12,0505.10,0.0682
10.12,0207.41,0.0089
10.12,0207.44,0.0743
10.12,0207.42,0.0082
10.12,0207.53,0.0013
10.12,0207.45,0.1287
10.12,0207.52,0.0001
10.12,0207.54,0.0003
10.12,0207.43,0.0134
10.12,0207.26,0.0747
10.12,0207.13,0.1317
10.12,0207.14,0.0874
10.12,0207.24,0.0202
10.12,0207.60,0.032
10.12,0207.11,0.0862
10.12,0207.27,0.0441
10.12,0207.12,0.1557
10.12,6701.00,0.0039
10.12,0207.55,0.0013
10.13,1601.00,0.2234
10.13,1602.41,0.0507
10.13,0210.19,0.0172
10.13,0210.12,0.0263
10.13,1602.31,0.0249
10.13,1602.20,0.0617
10.13,0210.20,0.0109
10.13,0210.91,0
10.13,1602.90,0.018
10.13,0210.92,0.0001
10.13,0210.93,0
10.13,2301.10,0.1256
10.13,0210.99,0.0219
10.13,1602.39,0.0373
10.13,1602.32,0.2839
10.13,0210.11,0.0029
10.13,1602.49,0.0332
10.13,1602.50,0.0597
10.13,1602.42,0.0022
10.13,0210.91,0
10.13,1602.32,0.3247
10.13,0210.99,0.0251
