"0101.21","Pure-bred breeding horses"
"0101.29","Live horses "
"0101.30","Live asses"
"0101.90","Live mules and hinnies"
"0102.21","Pure-bred cattle for breeding"
"0102.29","Live cattle "
"0102.31","Pure-bred buffalo for breeding"
"0102.39","Live buffalo "
"0102.90","Live bovine animals "
"0103.10","Pure-bred breeding swine"
"0103.91","Live pure-bred swine, weighing < 50 kg "
"0103.92","Live pure-bred swine, weighing >= 50 kg "
"0104.10","Live sheep"
"0104.20","Live goats"
"0105.11","Live fowls of the species Gallus domesticus, weighing <= 185 g "
"0105.12","Live domestic turkeys, weighing <= 185 g"
"0105.13","Live domestic ducks, weighing <= 185 g"
"0105.14","Live domestic geese, weighing <= 185 g"
"0105.15","Live domestic guinea fowls, weighing <= 185 g"
"0105.94","Live fowls of the species Gallus domesticus, weighing > 185"
"0105.99","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
"0106.11","Live primates"
"0106.12","Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"0106.13","Live camels and other camelids [Camelidae]"
"0106.14","Live rabbits and hares"
"0106.19","Live mammals "
"0106.20","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
"0106.31","Live birds of prey"
"0106.32","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
"0106.33","Live ostriches, and emus [Dromaius novaehollandiae]"
"0106.39","Live birds "
"0106.41","Live bees"
"0106.49","Live insects "
"0106.90","Live animals "
"0201.10","Carcases or half-carcases of bovine animals, fresh or chilled"
"0201.20","Fresh or chilled bovine cuts, with bone in "
"0201.30","Fresh or chilled bovine meat, boneless"
"0202.10","Frozen bovine carcases and half-carcases"
"0202.20","Frozen bovine cuts, with bone in "
"0202.30","Frozen, boneless meat of bovine animals"
"0203.11","Fresh or chilled carcases and half-carcases of swine"
"0203.12","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
"0203.19","Fresh or chilled meat of swine "
"0203.21","Frozen carcases and half-carcases of swine"
"0203.22","Frozen hams, shoulders and cuts thereof of swine, with bone in"
"0203.29","Frozen meat of swine "
"0204.10","Fresh or chilled lamb carcases and half-carcases"
"0204.21","Fresh or chilled sheep carcases and half-carcases "
"0204.22","Fresh or chilled cuts of sheep, with bone in "
"0204.23","Fresh or chilled boneless cuts of sheep"
