1.11,"Growing of cereals (except rice), leguminous crops and oil seeds
 This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields. The growing of these crops is often combined within agricultural units.

This class includes:
- growing of cereals such as:
  . wheat
  . grain maize
  . sorghum
  . barley
  . rye
  . oats
  . millets
  . other cereals n.e.c.
- growing of leguminous crops such as:
  . beans
  . broad beans
  . chick peas
  . cow peas
  . lentils
  . lupines
  . peas
  . pigeon peas
  . other leguminous crops
- growing of oil seeds such as:
  . soya beans
  . groundnuts
  . castor bean
  . linseed
  . mustard seed
  . niger seed
  . rapeseed
  . safflower seed
  . sesame seed
  . sunflower seed
  . other oil seeds
 "
1.12,"Growing of rice
 This class includes:
- growing of rice (including organic farming and the growing of genetically modified rice)
 "
1.13,"Growing of vegetables and melons, roots and tubers
 This class includes:
- growing of leafy or stem vegetables such as:
  . artichokes
  . asparagus
  . cabbages
  . cauliflower and broccoli
  . lettuce and chicory
  . spinach
  . other leafy or stem vegetables
- growing of fruit bearing vegetables such as:
  . cucumbers and gherkins
  . eggplants (aubergines)
  . tomatoes
  . watermelons
  . cantaloupes
  . other melons and fruit-bearing vegetables
- growing of root, bulb or tuberous vegetables such as:
  . carrots
  . turnips
  . garlic
  . onions (incl. shallots)
  . leeks and other alliaceous vegetables
  . other root, bulb or tuberous vegetables
- growing of mushrooms and truffles
- growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds
- growing of sugar beet
- growing of other vegetables
- growing of roots and tubers such as:
  . potatoes
  . sweet potatoes
  . cassava
  . yams
  . other roots and tubers
 "
1.14,"Growing of sugar cane
 
 "
1.15,"Growing of tobacco
 This class includes:
- growing of unmanufactured tobacco
 "
1.16,"Growing of fibre crops
 This class includes:
- growing of cotton
- growing of jute, kenaf and other textile bast fibres
- growing of flax and true hemp
- growing of sisal and other textile fibre of the genus agave
- growing of abaca, ramie and other vegetable textile fibres
- growing of other fibre crops
 "
1.19,"Growing of other non-perennial crops
 This class includes the growing of all other non-perennial crops:
- growing of swedes, mangolds, fodder roots, clover, alfalfa, sainfoin, fodder maize and other grasses, forage kale and similar forage products 
- growing of beet seeds (excluding sugar beet seeds) and seeds of forage plants
- growing of flowers
- production of cut flowers and flower buds
- growing of flower seeds
 "
1.21,"Growing of grapes
 This class includes:
- growing of wine grapes and table grapes in vineyards
 "
1.22,"Growing of tropical and subtropical fruits
 This class includes:
- growing of tropical and subtropical fruits:
  . avocados
  . bananas and plantains
  . dates
  . figs
  . mangoes
  . papayas
  . pineapples
  . other tropical and subtropical fruits
 "
1.23,"Growing of citrus fruits
 This class includes:
- growing of citrus fruits:
  . grapefruit and pomelo
  . lemons and limes
  . oranges
  . tangerines, mandarins and clementines
  . other citrus fruits
 "
1.24,"Growing of pome fruits and stone fruits
 This class includes:
- growing of pome fruits and stone fruits:
  . apples
  . apricots
  . cherries and sour cherries
  . peaches and nectarines
  . pears and quinces
  . plums and sloes
  . other pome fruits and stone fruits
 "
1.25,"Growing of other tree and bush fruits and nuts
 This class includes:
- growing of berries:
  . blueberries
  . currants
  . gooseberries
  . kiwi fruit
  . raspberries
  . strawberries
  . other berries
- growing of fruit seeds
- growing of edible nuts:
  . almonds
  . cashew nuts
  . chestnuts
  . hazelnuts
  . pistachios
  . walnuts
  . other nuts
- growing of other tree and bush fruits:
  . locust beans
 "
1.26,"Growing of oleaginous fruits
 This class includes:
- growing of oleaginous fruits:
  . coconuts
  . olives
  . oil palms
  . other oleaginous fruits
 "
